# Logfile created on 2021-09-30 06:46:41 +0330 by logger.rb/v1.4.2
I, [2021-09-30T06:46:41.021092 #52600]  INFO -- : (0.000174s) SET standard_conforming_strings = ON
I, [2021-09-30T06:46:41.021243 #52600]  INFO -- : (0.000105s) SET client_min_messages = 'WARNING'
I, [2021-09-30T06:46:41.021314 #52600]  INFO -- : (0.000050s) SET DateStyle = 'ISO'
I, [2021-09-30T06:53:12.119827 #58015]  INFO -- : (0.000214s) SET standard_conforming_strings = ON
I, [2021-09-30T06:53:12.120075 #58015]  INFO -- : (0.000168s) SET client_min_messages = 'WARNING'
I, [2021-09-30T06:53:12.120266 #58015]  INFO -- : (0.000147s) SET DateStyle = 'ISO'
I, [2021-09-30T06:57:36.736899 #64165]  INFO -- : (0.000208s) SET standard_conforming_strings = ON
I, [2021-09-30T06:57:36.737138 #64165]  INFO -- : (0.000159s) SET client_min_messages = 'WARNING'
I, [2021-09-30T06:57:36.737341 #64165]  INFO -- : (0.000164s) SET DateStyle = 'ISO'
I, [2021-09-30T06:57:36.737880 #64165]  INFO -- : (0.000355s) SELECT CAST(current_setting('server_version_num') AS integer) AS v
E, [2021-09-30T06:57:36.741175 #64165] ERROR -- : PG::DuplicateColumn: ERROR:  column "id" specified more than once: CREATE TABLE "tweets" ("id" integer GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY, "id" integer, "description" text)
I, [2021-09-30T06:57:52.921051 #64165]  INFO -- : (0.000532s) SET standard_conforming_strings = ON
I, [2021-09-30T06:57:52.921731 #64165]  INFO -- : (0.000503s) SET client_min_messages = 'WARNING'
I, [2021-09-30T06:57:52.922339 #64165]  INFO -- : (0.000415s) SET DateStyle = 'ISO'
I, [2021-09-30T06:57:52.923701 #64165]  INFO -- : (0.000996s) SELECT CAST(current_setting('server_version_num') AS integer) AS v
E, [2021-09-30T06:57:52.927851 #64165] ERROR -- : PG::DuplicateColumn: ERROR:  column "id" specified more than once: CREATE TABLE "tweets" ("id" integer GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY, "id" integer, "description" text)
I, [2021-09-30T06:57:57.567582 #64498]  INFO -- : (0.000209s) SET standard_conforming_strings = ON
I, [2021-09-30T06:57:57.567855 #64498]  INFO -- : (0.000191s) SET client_min_messages = 'WARNING'
I, [2021-09-30T06:57:57.568091 #64498]  INFO -- : (0.000183s) SET DateStyle = 'ISO'
I, [2021-09-30T06:57:57.568531 #64498]  INFO -- : (0.000258s) SELECT CAST(current_setting('server_version_num') AS integer) AS v
I, [2021-09-30T06:57:57.574113 #64498]  INFO -- : (0.005412s) CREATE TABLE "tweets" ("id" integer GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY, "tweet_id" integer, "description" text)
I, [2021-09-30T07:02:32.236595 #72721]  INFO -- : (0.000160s) SET standard_conforming_strings = ON
I, [2021-09-30T07:02:32.236810 #72721]  INFO -- : (0.000141s) SET client_min_messages = 'WARNING'
I, [2021-09-30T07:02:32.236974 #72721]  INFO -- : (0.000124s) SET DateStyle = 'ISO'
I, [2021-09-30T07:02:32.238540 #72721]  INFO -- : (0.001233s) SELECT pg_attribute.attname AS pk FROM pg_class, pg_attribute, pg_index, pg_namespace WHERE pg_class.oid = pg_attribute.attrelid AND pg_class.relnamespace = pg_namespace.oid AND pg_class.oid = pg_index.indrelid AND pg_index.indkey[0] = pg_attribute.attnum AND pg_index.indisprimary = 't' AND pg_class.oid = CAST(CAST('"tweets"' AS regclass) AS oid)
I, [2021-09-30T07:02:32.239042 #72721]  INFO -- : (0.000295s) SELECT CAST(current_setting('server_version_num') AS integer) AS v
E, [2021-09-30T07:02:32.239659 #72721] ERROR -- : PG::UndefinedColumn: ERROR:  column "text" of relation "tweets" does not exist
LINE 1: INSERT INTO "tweets" ("id", "text", "tweet_id", "description...
                                    ^: INSERT INTO "tweets" ("id", "text", "tweet_id", "description") VALUES ('1373001119480344583', 'Looking to get started with the Twitter API but new to APIs in general? @jessicagarson will walk you through everything you need to know in APIs 101 session. She’ll use examples using our v2 endpoints, Tuesday, March 23rd at 1 pm EST.nnJoin us on Twitchnhttps://t.co/GrtBOXyHmB', NULL, NULL) RETURNING "id"
I, [2021-09-30T07:05:00.840501 #73827]  INFO -- : (0.000188s) SET standard_conforming_strings = ON
I, [2021-09-30T07:05:00.840692 #73827]  INFO -- : (0.000140s) SET client_min_messages = 'WARNING'
I, [2021-09-30T07:05:00.840894 #73827]  INFO -- : (0.000163s) SET DateStyle = 'ISO'
